Sample_Name;Sample_name;Novogene_ID;Treatment;Time_point;Soil_type;Plant_Number;Harvest;Block;Column;Row
Man.P10.W4;man_p10_w4;FKDN220481349-1A;MAN;Week.4;Pot;10;4;5;13;1
Man.P62.W4;Man_P62_w4;FKDN220481353-1A;MAN;Week.4;Pot;62;4;11;32;2
MW.P01.W4;mw_p1_w4;FKDN220481363-1A;MW;Week.4;Pot;1;4;7;20;4
MW.P02.W4;mw_p2_w4;FKDN220481365-1A;MW;Week.4;Pot;2;4;1;3;17
MW.P03.W4;mw_p3_w4;FKDN220481366-1A;MW;Week.4;Pot;3;4;11;33;15
MW.P04.W4;mw_p4_w4;FKDN220481367-1A;MW;Week.4;Pot;4;4;6;17;7
MW.P05.W4;mw_p5_w4;FKDN220481368-1A;MW;Week.4;Pot;5;4;10;28;10
MW.P07.W4;mw_p7_w4;FKDN220481370-1A;MW;Week.4;Pot;7;4;3;7;3
MW.P08.W4;mw_p8_w4;FKDN220481371-1A;MW;Week.4;Pot;8;4;8;23;6
MW.P09.W4;mw_p9_w4;FKDN220481372-1A;MW;Week.4;Pot;9;4;4;12;1
MW.P10.W4;mw_p10_w4;FKDN220481364-1A;MW;Week.4;Pot;10;4;5;15;7
MW.P53.W4;mw_p53_w4;FKDN220481369-1A;MW;Week.4;Pot;53;4;13;37;14
BSF.P11.W8;bsf_p11_w8;FKDN220481383-1A;BSF;Week.8;Pot;11;8;9;26;8
BSF.P12.W8;bsf_p12_w8;FKDN220481390-1A;BSF;Week.8;Pot;12;8;12;35;9
BSF.P13.W8;bsf_p13_w8;FKDN220481384-1A;BSF;Week.8;Pot;13;8;4;12;15
BSF.P14.W8;bsf_p14_w8;FKDN220481385-1A;BSF;Week.8;Pot;14;8;2;4;6
BSF.P15.W8;bsf_p15_w8;FKDN220481391-1A;BSF;Week.8;Pot;15;8;11;33;6
BSF.P16.W8;bsf_p16_w8;FKDN220481386-1A;BSF;Week.8;Pot;16;8;10;28;11
BSF.P17.W8;bsf_p17_w8;FKDN220481387-1A;BSF;Week.8;Pot;17;8;5;14;7
BSF.P19.W8;bsf_p19_w8;FKDN230053495-1A;BSF;Week.8;Pot;19;8;3;7;6
BSF.P20.W8;bsf_p20_w8;FKDN220481389-1A;BSF;Week.8;Pot;20;8;8;24;16
Chi.P11.W8;chi_p11_w8;FKDN220481400-1A;CHI;Week.8;Pot;11;8;1;1;2
Chi.P12.W8;chi_p12_w8;FKDN220481401-1A;CHI;Week.8;Pot;12;8;7;21;13
Chi.P13.W8;chi_p13_w8;FKDN220481402-1A;CHI;Week.8;Pot;13;8;11;31;3
Chi.P14.W8;chi_p14_w8;FKDN220481403-1A;CHI;Week.8;Pot;14;8;12;34;2
Chi.P15.W8;chi_p15_w8;FKDN220481404-1A;CHI;Week.8;Pot;15;8;10;30;5
Chi.P16.W8;chi_p16_w8;FKDN220481405-1A;CHI;Week.8;Pot;16;8;6;16;2
Chi.P17.W8;chi_p17_w8;FKDN220481406-1A;CHI;Week.8;Pot;17;8;2;4;10
Chi.P18.W8;chi_p18_w8;FKDN230053498-1A;CHI;Week.8;Pot;18;8;4;10;2
Chi.P19.W8;chi_p19_w8;FKDN220481408-1A;CHI;Week.8;Pot;19;8;9;26;16
Chi.P64.W8;chi_p64_w8;FKDN220481409-1A;CHI;Week.8;Pot;64;8;13;39;2
Co.P11.W8;co_p11_w8;FKDN220481419-1A;CO;Week.8;Pot;11;8;2;5;1
Co.P12.W8;co_p12_w8;FKDN220481420-1A;CO;Week.8;Pot;12;8;3;7;4
Co.P13.W8;co_p13_w8;FKDN220481421-1A;CO;Week.8;Pot;13;8;5;14;13
Co.P16.W8;co_p16_w8;FKDN220481423-1A;CO;Week.8;Pot;16;8;11;32;4
Co.P17.W8;co_p17_w8;FKDN220481424-1A;CO;Week.8;Pot;17;8;8;22;13
Co.P18.W8;co_p18_w8;FKDN220481425-1A;CO;Week.8;Pot;18;8;4;12;6
Co.P19.W8;co_p19_w8;FKDN220481426-1A;CO;Week.8;Pot;19;8;6;17;11
Co.P20.W8;co_p20_w8;FKDN220481427-1A;CO;Week.8;Pot;20;8;7;21;6
Co.P59.W8;co_p59_w8;FKDN220481428-1A;CO;Week.8;Pot;59;8;13;37;15
HC.P11.W8;hc_p11_w8;FKDN220481439-1A;HC;Week.8;Pot;11;8;8;22;15
HC.P12.W8;hc_p12_w8;FKDN220481440-1A;HC;Week.8;Pot;12;8;4;11;1
HC.P13.W8;hc_p13_w8;FKDN220481441-1A;HC;Week.8;Pot;13;8;1;3;8
HC.P14.W8;hc_p14_w8;FKDN220481442-1A;HC;Week.8;Pot;14;8;7;21;1
HC.P15.W8;hc_p15_w8;FKDN220481443-1A;HC;Week.8;Pot;15;8;11;33;8
HC.P16.W8;hc_p16_w8;FKDN220481444-1A;HC;Week.8;Pot;16;8;9;26;17
HC.P18.W8;hc_p18_w8;FKDN220485852-1A;HC;Week.8;Pot;18;8;10;30;1
HC.P19.W8;hc_p19_w8;FKDN220481446-1A;HC;Week.8;Pot;19;8;12;35;16
HC.P20.W8;hc_p20_w8;FKDN220481447-1A;HC;Week.8;Pot;20;8;5;14;4
HC.P51.W8;hc_p51_w8;FKDN220481448-1A;HC;Week.8;Pot;51;8;13;37;17
Man.P11.W8;man_p11_w8;FKDN220481459-1A;MAN;Week.8;Pot;11;8;4;12;14
Man.P13.W8;man_p13_w8;FKDN220481460-1A;MAN;Week.8;Pot;13;8;9;25;1
Man.P14.W8;man_p14_w8;FKDN220481461-1A;MAN;Week.8;Pot;14;8;1;3;2
Man.P15.W8;man_p15_w8;FKDN220481462-1A;MAN;Week.8;Pot;15;8;6;18;8
Man.P16.W8;man_p16_w8;FKDN220481463-1A;MAN;Week.8;Pot;16;8;12;34;15
Man.P17.W8;man_p17_w8;FKDN220481464-1A;MAN;Week.8;Pot;17;8;3;8;5
Man.P18.W8;man_p18_w8;FKDN220481465-1A;MAN;Week.8;Pot;18;8;11;32;11
Man.P19.W8;man_p19_w8;FKDN220481466-1A;MAN;Week.8;Pot;19;8;7;21;8
Man.P20.W8;man_p20_w8;FKDN220481467-1A;MAN;Week.8;Pot;20;8;8;23;11
Man.P53.W8;man_p53_w8;FKDN220481468-1A;MAN;Week.8;Pot;53;8;13;39;8
MW.P11.W8;mw_p11_w8;FKDN220481479-1A;MW;Week.8;Pot;11;8;4;11;4
MW.P13.W8;mw_p13_w8;FKDN220481480-1A;MW;Week.8;Pot;13;8;2;4;5
MW.P14.W8;mw_p14_w8;FKDN220481481-1A;MW;Week.8;Pot;14;8;1;1;9
MW.P15.W8;mw_p15_w8;FKDN220481482-1A;MW;Week.8;Pot;15;8;11;32;5
MW.P16.W8;mw_p16_w8;FKDN220481483-1A;MW;Week.8;Pot;16;8;9;26;9
MW.P17.W8;mw_p17_w8;FKDN220481484-1A;MW;Week.8;Pot;17;8;8;22;4
MW.P18.W8;mw_p18_w8;FKDN220481485-1A;MW;Week.8;Pot;18;8;3;7;12
MW.P19.W8;mw_p19_w8;FKDN220481486-1A;MW;Week.8;Pot;19;8;7;20;7
MW.P20.W8;mw_p20_w8;FKDN220481487-1A;MW;Week.8;Pot;20;8;5;15;1
MW.P65.W8;mw_p65_w8;FKDN220481488-1A;MW;Week.8;Pot;65;8;12;35;8
BSF.P21.W12;bsf_p21_w12;FKDN220481046-1A;BSF;Week.12;Pot;21;12;4;11;15
BSF.P22.W12;bsf_p22_w12;FKDN220481038-1A;BSF;Week.12;Pot;22;12;6;16;16
BSF.P23.W12;bsf_p23_w12;FKDN220481039-1A;BSF;Week.12;Pot;23;12;5;15;9
BSF.P25.W12;bsf_p25_w12;FKDN220481040-1A;BSF;Week.12;Pot;25;12;2;5;3
BSF.P26.W12;bsf_p26_w12;FKDN220481041-1A;BSF;Week.12;Pot;26;12;9;25;5
BSF.P27.W12;bsf_p27_w12;FKDN220481042-1A;BSF;Week.12;Pot;27;12;8;24;15
BSF.P28.W12;bsf_p28_w12;FKDN220481043-1A;BSF;Week.12;Pot;28;12;3;9;17
BSF.P29.W12;bsf_p29_w12;FKDN220481044-1A;BSF;Week.12;Pot;29;12;4;12;4
BSF.P36.W12;bsf_p36_w12;FKDN220481045-1A;BSF;Week.12;Pot;36;12;4;11;8
BSF.P68.W12;bsf_p68_w12;FKDN220481047-1A;BSF;Week.12;Pot;68;12;12;34;7
Chi.P21.W12;chi_p21_w12;FKDN220481056-1A;CHI;Week.12;Pot;21;12;7;20;8
Chi.P22.W12;chi_p22_w12;FKDN220481057-1A;CHI;Week.12;Pot;22;12;6;18;2
Chi.P23.W12;chi_p23_w12;FKDN220481058-1A;CHI;Week.12;Pot;23;12;10;29;7
Chi.P25.W12;chi_p25_w12;FKDN220481059-1A;CHI;Week.12;Pot;25;12;8;24;8
Chi.P26.W12;chi_p26_w12;FKDN220481060-1A;CHI;Week.12;Pot;26;12;9;25;10
Chi.P27.W12;chi_p27_w12;FKDN220481061-1A;CHI;Week.12;Pot;27;12;11;31;17
Chi.P28.W12;chi_p28_w12;FKDN220481062-1A;CHI;Week.12;Pot;28;12;1;3;5
Chi.P29.W12;chi_p29_w12;FKDN220481063-1A;CHI;Week.12;Pot;29;12;12;36;17
Chi.P30.W12;chi_p30_w12;FKDN220481064-1A;CHI;Week.12;Pot;30;12;3;7;1
Chi.P70.W12;chi_p70_w12;FKDN220481055-1A;CHI;Week.12;Pot;70;12;13;38;12
Co.P21.W12;co_p21_w12;FKDN220481074-1A;CO;Week.12;Pot;21;12;11;32;7
Co.P22.W12;co_p22_w12;FKDN220481075-1A;CO;Week.12;Pot;22;12;10;28;3
Co.P23.W12;co_p23_w12;FKDN220481076-1A;CO;Week.12;Pot;23;12;6;16;15
Co.P25.W12;co_p25_w12;FKDN220481492-1A;CO;Week.12;Pot;25;12;1;3;11
Co.P26.W12;co_p26_w12;FKDN220481077-1A;CO;Week.12;Pot;26;12;4;10;16
Co.P28.W12;co_p28_w12;FKDN230053477-1A;CO;Week.12;Pot;28;12;5;13;6
Co.P29.W12;co_p29_w12;FKDN220485854-1A;CO;Week.12;Pot;29;12;8;22;10
Co.P30.W12;co_p30_w12;FKDN220481080-1A;CO;Week.12;Pot;30;12;9;27;3
Co.P69.W12;co_p69_w12;FKDN220481081-1A;CO;Week.12;Pot;69;12;13;38;4
HC.P22.W12;hc_p22_w12;FKDN220481091-1A;HC;Week.12;Pot;22;12;2;5;6
HC.P23.W12;hc_p23_w12;FKDN220481092-1A;HC;Week.12;Pot;23;12;10;29;8
HC.P24.W12;hc_p24_w12;FKDN220481100-1A;HC;Week.12;Pot;24;12;3;9;7
HC.P25.W12;hc_p25_w12;FKDN220481093-1A;HC;Week.12;Pot;25;12;1;1;7
HC.P26.W12;hc_p26_w12;FKDN220481094-1A;HC;Week.12;Pot;26;12;11;31;9
HC.P27.W12;hc_p27_w12;FKDN220481095-1A;HC;Week.12;Pot;27;12;5;14;16
HC.P28.W12;hc_p28_w12;FKDN220481096-1A;HC;Week.12;Pot;28;12;6;16;4
HC.P29.W12;hc_p29_w12;FKDN220481097-1A;HC;Week.12;Pot;29;12;1;2;8
HC.P30.W12;hc_p30_w12;FKDN220481098-1A;HC;Week.12;Pot;30;12;7;21;9
HC.P64.W12;hc_p64_w12;FKDN220481099-1A;HC;Week.12;Pot;64;12;13;38;2
Man.P21.W12;man_p21_w12;FKDN220481110-1A;MAN;Week.12;Pot;21;12;8;24;4
Man.P22.W12;man_p22_w12;FKDN220481111-1A;MAN;Week.12;Pot;22;12;7;20;12
Man.P24.W12;man_p24_w12;FKDN220481112-1A;MAN;Week.12;Pot;24;12;10;29;6
Man.P25.W12;man_p25_w12;FKDN220481113-1A;MAN;Week.12;Pot;25;12;4;10;9
Man.P26.W12;man_p26_w12;FKDN220481114-1A;MAN;Week.12;Pot;26;12;11;32;9
Man.P27.W12;man_p27_w12;FKDN220481119-1A;MAN;Week.12;Pot;27;12;12;35;17
Man.P28.W12;man_p28_w12;FKDN220481115-1A;MAN;Week.12;Pot;28;12;2;4;1
Man.P29.W12;man_p29_w12;FKDN220481116-1A;MAN;Week.12;Pot;29;12;5;15;5
Man.P30.W12;man_p30_w12;FKDN220481117-1A;MAN;Week.12;Pot;30;12;6;17;8
Man.P63.W12;man_p63_w12;FKDN220481118-1A;MAN;Week.12;Pot;63;12;13;38;8
MW.P21.W12;mw_p21_w12;FKDN220481130-1A;MW;Week.12;Pot;21;12;6;17;1
MW.P22.W12;mw_p22_w12;FKDN220481131-1A;MW;Week.12;Pot;22;12;12;35;2
MW.P23.W12;mw_p23_w12;FKDN220481132-1A;MW;Week.12;Pot;23;12;5;14;3
MW.P24.W12;mw_p24_w12;FKDN220481133-1A;MW;Week.12;Pot;24;12;11;31;4
MW.P25.W12;mw_p25_w12;FKDN220481134-1A;MW;Week.12;Pot;25;12;7;20;10
MW.P27.W12;mw_p27_w12;FKDN220481135-1A;MW;Week.12;Pot;27;12;9;25;9
MW.P29.W12;mw_p29_w12;FKDN220481136-1A;MW;Week.12;Pot;29;12;10;28;5
MW.P30.W12;mw_p30_w12;FKDN220481138-1A;MW;Week.12;Pot;30;12;3;9;8
MW.P58.W12;mw_p58_w12;FKDN220481137-1A;MW;Week.12;Pot;58;12;13;39;6
BSF.P31.W16;bsf_p31_w16;FKDN220481149-1A;BSF;Week.16;Pot;31;16;2;5;2
BSF.P32.W16;bsf_p32_w16;FKDN220481150-1A;BSF;Week.16;Pot;32;16;3;7;5
BSF.P33.W16;bsf_p33_w16;FKDN220481151-1A;BSF;Week.16;Pot;33;16;11;32;13
BSF.P34.W16;bsf_p34_w16;FKDN220481152-1A;BSF;Week.16;Pot;34;16;8;23;1
BSF.P37.W16;bsf_p37_w16;FKDN220481153-1A;BSF;Week.16;Pot;37;16;6;17;16
BSF.P38.W16;bsf_p38_w16;FKDN220481154-1A;BSF;Week.16;Pot;38;16;5;15;2
BSF.P40.W16;bsf_p40_w16;FKDN220481155-1A;BSF;Week.16;Pot;40;16;4;10;17
BSF.P41.W16;bsf_p41_w16;FKDN220481156-1A;BSF;Week.16;Pot;41;16;9;25;7
BSF.P52.W16;bsf_p52_w16;FKDN220481157-1A;BSF;Week.16;Pot;52;16;12;36;11
BSF.P70.W16;bsf_p70_w16;FKDN220481158-1A;BSF;Week.16;Pot;70;16;13;38;11
Chi.P31.W16;chi_p31_w16;FKDN220481174-1A;CHI;Week.16;Pot;31;16;3;8;14
Chi.P32.W16;chi_p32_w16;FKDN220485850-1A;CHI;Week.16;Pot;32;16;9;26;5
Chi.P33.W16;chi_p33_w16;FKDN220481490-1A;CHI;Week.16;Pot;33;16;4;11;7
Chi.P35.W16;chi_p35_w16;FKDN220481169-1A;CHI;Week.16;Pot;35;16;8;24;5
Chi.P37.W16;chi_p37_w16;FKDN220481175-1A;CHI;Week.16;Pot;37;16;9;26;14
Chi.P38.W16;chi_p38_w16;FKDN220481170-1A;CHI;Week.16;Pot;38;16;6;18;5
Chi.P45.W16;chi_p45_w16;FKDN220481171-1A;CHI;Week.16;Pot;45;16;5;15;11
Chi.P46.W16;chi_p46_w16;FKDN220481176-1A;CHI;Week.16;Pot;46;16;11;32;8
Chi.P47.W16;chi_p47_w16;FKDN220481172-1A;CHI;Week.16;Pot;47;16;2;6;15
Chi.P48.W16;chi_p48_w16;FKDN220481173-1A;CHI;Week.16;Pot;48;16;1;2;13
Co.P31.W16;co_p31_w16;FKDN220481187-1A;CO;Week.16;Pot;31;16;8;22;11
Co.P33.W16;co_p33_w16;FKDN220481188-1A;CO;Week.16;Pot;33;16;8;24;9
Co.P36.W16;co_p36_w16;FKDN220481191-1A;CO;Week.16;Pot;36;16;1;3;4
Co.P40.W16;co_p40_w16;FKDN220481192-1A;CO;Week.16;Pot;40;16;2;4;12
Co.P44.W16;co_p44_w16;FKDN220481189-1A;CO;Week.16;Pot;44;16;6;17;3
Co.P46.W16;co_p46_w16;FKDN220481193-1A;CO;Week.16;Pot;46;16;1;1;17
Co.P47.W16;co_p47_w16;FKDN220481194-1A;CO;Week.16;Pot;47;16;2;6;11
Co.P48.W16;co_p48_w16;FKDN220481195-1A;CO;Week.16;Pot;48;16;6;18;12
